election,election_date,precinct_code,precinct_name,contest,contest_resolved,choice,choice_raw,votes,row_type,name_resolved
2026 Primary Election,2026-05-05,0026,Lima 7B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0026,Lima 7B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,57,tally,
2026 Primary Election,2026-05-05,0027,Lima 7C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,52,choice,yes
2026 Primary Election,2026-05-05,0027,Lima 7C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,52,tally,
2026 Primary Election,2026-05-05,0027,Lima 7C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0027,Lima 7C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,7,tally,
2026 Primary Election,2026-05-05,0027,Lima 7C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,59,tally,
2026 Primary Election,2026-05-05,0028,Amanda E,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,32,choice,yes
2026 Primary Election,2026-05-05,0028,Amanda E,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,32,tally,
2026 Primary Election,2026-05-05,0028,Amanda E,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0028,Amanda E,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0028,Amanda E,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,33,tally,
2026 Primary Election,2026-05-05,0029,Amanda N,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,17,choice,yes
2026 Primary Election,2026-05-05,0029,Amanda N,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,17,tally,
2026 Primary Election,2026-05-05,0029,Amanda N,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0029,Amanda N,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0029,Amanda N,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,17,tally,
2026 Primary Election,2026-05-05,0030,Elida A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,18,choice,yes
2026 Primary Election,2026-05-05,0030,Elida A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,18,tally,
2026 Primary Election,2026-05-05,0030,Elida A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0030,Elida A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0030,Elida A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,20,tally,
2026 Primary Election,2026-05-05,0031,Elida B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,27,choice,yes
2026 Primary Election,2026-05-05,0031,Elida B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,27,tally,
2026 Primary Election,2026-05-05,0031,Elida B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0031,Elida B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0031,Elida B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,29,tally,
2026 Primary Election,2026-05-05,0032,American A,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,38,choice,yes
2026 Primary Election,2026-05-05,0032,American A,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,38,tally,
