COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
Green Bay Packaging Inc.,Warren,45036,JCTC Job Creation Tax Credit,56866.0,6995620.00,Servicing,22,89,02/25/2013,35.00,N/A,7
CABLE MANUFACTURING & ASSEMBLY INC,Tuscarawas,44612-8990,JCTC Job Creation Tax Credit,44000.0,205000.00,Servicing,51,75,06/29/2015,N/A,0.778,5
LaSalle Theatre,Cuyahoga,44119,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
Sugar Creek Packing Co.,Butler,45011,JCTC Job Creation Tax Credit,84245.0,1200000.00,Completed,50,70,03/29/2010,45.00,N/A,6
Central Trust Company East Hills Branch,Hamilton,45206,Ohio Historic Preservation Tax Credit,196007.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
"BlueScope Recycling and Materials, LLC",Fulton,43515,JCTC Job Creation Tax Credit,385000.0,20703000.00,Servicing,75,0,10/30/2017,N/A,1.448,7
Satelytics Inc.,Wood,43551,JCTC Job Creation Tax Credit,250000.0,100000.00,Servicing,38,10,09/28/2020,N/A,1.479,7
"Advics Manufacturing Ohio, Inc.",Warren,45036-8390,JCTC Job Creation Tax Credit,880891.0,150500000.00,Servicing,260,714,10/26/2015,N/A,1.538,6
"Aeroseal, LLC",Montgomery,45459,JCTC Job Creation Tax Credit,92420.0,350000.00,Completed,40,0,09/26/2011,35.00,N/A,6
1662 Blue Rock,Hamilton,,Ohio Historic Preservation Tax Credit,110734.0,N/A,Completed,N/A,N/A,12/12/2018,N/A,N/A,N/A
Ohio Bell Headquarters,Cuyahoga,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
